	FPKM	mean
FBtr0070203	0.0	-0.030112
FBtr0070204	0.0	-0.06455369999999999
FBtr0070205	6.513439	-0.044204900000000005
FBtr0070206	0.11356400000000001	-0.07550710000000001
FBtr0070207	23.92783	-0.0889398
FBtr0070209	54.169487	-0.07461010000000001
FBtr0070211	0.0	-0.0611641
FBtr0070212	55.902241000000004	-0.127021
FBtr0070213	0.0	-0.056018899999999996
FBtr0070215	34.740879	-0.0594565
FBtr0070216	58.94080400000001	-0.0881628
FBtr0070217	1.425902	-0.0881628
FBtr0070218	0.0	-0.0881628
FBtr0070219	0.0	-0.08098330000000001
FBtr0070222	0.0	-0.065916
FBtr0070225	9.070152	-0.0724297
FBtr0070230	6.142061	-0.0706659
FBtr0070231	0.0	-0.05806519999999999
FBtr0070233	47.161625	-0.10348399999999999
FBtr0070234	11.248041	-0.0741043
FBtr0070235	19.033859	-0.06675110000000001
FBtr0070236	4.567247	-0.0510359
FBtr0070237	0.0	-0.0510359
FBtr0070238	0.0	-0.0516144
FBtr0070239	36.878613	-0.0551684
FBtr0070241	0.0	-0.0551684
FBtr0070244	0.0	-0.0459904
FBtr0070245	23.413265	-0.06280319999999999
FBtr0070249	0.0	-0.0166848
FBtr0070250	22.122207999999997	-0.0376112
FBtr0070251	0.0	0.35438400000000003
FBtr0070252	0.0	-0.0599154
FBtr0070253	0.0	-0.09319580000000001
FBtr0070254	0.0	-0.0735757
FBtr0070255	0.0	-0.0986744
FBtr0070256	38.83894	-0.102198
FBtr0070257	0.0	-0.0693208
FBtr0070258	35.489632	-0.0626952
FBtr0070259	37.604038	-0.08677119999999999
FBtr0070260	7.906333999999999	-0.103628
FBtr0070261	0.0	-0.0658092
FBtr0070262	0.0	0.375125
FBtr0070263	0.0	0.375125
FBtr0070265	0.0	0.375125
FBtr0070266	0.0	0.375125
FBtr0070269	20.134609	-0.06017190000000001
FBtr0070270	11.684458	-0.0698012
FBtr0070272	0.0	-0.0636212
FBtr0070277	0.0	-0.013237200000000001
FBtr0070278	0.0	-0.0683348
FBtr0070279	30.222956	-0.07334149999999999
FBtr0070283	19.627976999999998	-0.0974722
FBtr0070284	0.0	-0.059828099999999995
FBtr0070285	0.0	-0.0816089
FBtr0070288	0.0	0.031156700000000002
FBtr0070289	3.226434	-0.0667238
FBtr0070290	1379.9880369999998	-0.0667238
FBtr0070292	0.0	-0.08361389999999999
FBtr0070293	0.0	-0.06808610000000001
FBtr0070294	0.0	-0.06808610000000001
FBtr0070295	0.0	-0.07128519999999999
FBtr0070296	7.084058	-0.090347
FBtr0070297	10.256102	-0.0918115
FBtr0070298	0.14968099999999998	-0.0807107
FBtr0070299	0.0	-0.0599255
FBtr0070300	0.0	-0.0599255
FBtr0070301	0.0	-0.048599699999999996
FBtr0070308	39.778572	-0.0687929
FBtr0070310	33.750820000000004	-0.09924889999999999
FBtr0070311	66.766418	-0.0636324
FBtr0070312	79.994621	-0.07540419999999999
FBtr0070313	21.35803	-0.0676215
FBtr0070314	22.303766	-0.0774617
FBtr0070315	31.935198	-0.07202919999999999
FBtr0070316	3.8691470000000003	-0.0951816
FBtr0070317	13.702373999999999	-0.103934
FBtr0070318	67.464493	-0.11267
FBtr0070319	18.683075	-0.11267
FBtr0070320	0.0	-0.113776
FBtr0070321	33.576374	-0.07363489999999999
FBtr0070326	0.0	-0.0854471
FBtr0070328	0.474833	-0.0649086
FBtr0070330	0.0	0.306369
FBtr0070331	0.0	-0.0967879
FBtr0070334	0.0	-0.0859342
FBtr0070335	6.6370070000000005	-0.0859342
FBtr0070336	0.0	-0.0859342
FBtr0070337	32.779907	-0.0859342
FBtr0070338	0.0	-0.08556989999999999
FBtr0070339	96.591522	-0.0639648
FBtr0070340	0.0	-0.058687699999999995
FBtr0070341	0.0	-0.0472438
FBtr0070342	0.0	-0.053470000000000004
FBtr0070343	0.0	0.452636
FBtr0070344	11.292314999999999	0.452636
FBtr0070345	0.0	-0.0373466
FBtr0070346	52.381344	-0.0320787
FBtr0070347	41.341568	-0.0488587
FBtr0070349	6.798850999999999	-0.0053969
FBtr0070350	16.236701999999998	-0.07052389999999999
FBtr0070351	15.241398	-0.066702
FBtr0070352	0.0	-0.0480075
FBtr0070353	0.0	-0.050785000000000004
FBtr0070354	8.212000999999999	-0.050785000000000004
FBtr0070355	0.0	-0.07398560000000001
FBtr0070356	13.049	-0.06476269999999999
FBtr0070362	20.702187	-0.0913381
FBtr0070363	1.8000450000000001	-0.0913381
FBtr0070364	23.350491	-0.0853638
FBtr0070365	22.757532	-0.0779578
FBtr0070366	56.642768999999994	-0.0902992
FBtr0070367	0.0	-0.0574405
FBtr0070368	11.740441	-0.0574405
FBtr0070369	106.85691100000001	-0.0729367
FBtr0070370	0.0	-0.0729367
FBtr0070371	0.0	0.9237110000000001
FBtr0070372	14.319569	-0.0948662
FBtr0070374	0.0	-0.0574961
FBtr0070375	6.941364999999999	-0.07953160000000001
FBtr0070376	13.554059	-0.0796943
FBtr0070377	0.0	-0.0796943
FBtr0070378	27.073673	-0.07776389999999998
